#;SeasonStart;PlayerName;PlayerSalary;Pos;Age;Tm;FG%;PTS
;;Jugador 280;;;;;100;280
;;Jugador 281;;;;;100;281
;;Jugador 282;;;;;100;282
;;Jugador 283;;;;;100;283
;;Jugador 284;;;;;100;284
;;Jugador 285;;;;;100;285
;;Jugador 286;;;;;100;286
;;Jugador 287;;;;;100;287
;;Jugador 288;;;;;100;288
;;Jugador 289;;;;;100;289
;;Jugador 290;;;;;100;290
;;Jugador 291;;;;;100;291
;;Jugador 292;;;;;100;292
;;Jugador 293;;;;;100;293
;;Jugador 294;;;;;100;294
;;Jugador 295;;;;;100;295
;;Jugador 296;;;;;100;296
;;Jugador 297;;;;;100;297
;;Jugador 298;;;;;100;298
;;Jugador 299;;;;;100;299
;;Jugador 300;;;;;100;300
;;Jugador 301;;;;;100;301
;;Jugador 302;;;;;100;302
;;Jugador 303;;;;;100;303
;;Jugador 304;;;;;100;304
;;Jugador 305;;;;;100;305
;;Jugador 306;;;;;100;306
;;Jugador 307;;;;;100;307
;;Jugador 308;;;;;100;308
;;Jugador 309;;;;;100;309
;;Jugador 310;;;;;100;310
;;Jugador 311;;;;;100;311
;;Jugador 312;;;;;100;312
;;Jugador 313;;;;;100;313
;;Jugador 314;;;;;100;314
;;Jugador 315;;;;;100;315
;;Jugador 316;;;;;100;316
;;Jugador 317;;;;;100;317
;;Jugador 318;;;;;100;318
;;Jugador 319;;;;;100;319
;;Jugador 320;;;;;100;320
;;Jugador 321;;;;;100;321
;;Jugador 322;;;;;100;322
;;Jugador 323;;;;;100;323
;;Jugador 324;;;;;100;324
;;Jugador 325;;;;;100;325
;;Jugador 326;;;;;100;326
;;Jugador 327;;;;;100;327
;;Jugador 328;;;;;100;328
;;Jugador 329;;;;;100;329
;;Jugador 330;;;;;100;330
;;Jugador 331;;;;;100;331
;;Jugador 332;;;;;100;332
;;Jugador 333;;;;;100;333
;;Jugador 334;;;;;100;334
;;Jugador 335;;;;;100;335
;;Jugador 336;;;;;100;336
;;Jugador 337;;;;;100;337
;;Jugador 338;;;;;100;338
;;Jugador 339;;;;;100;339
;;Jugador 340;;;;;100;340
;;Jugador 341;;;;;100;341
;;Jugador 342;;;;;100;342
;;Jugador 343;;;;;100;343
;;Jugador 344;;;;;100;344
;;Jugador 345;;;;;100;345
;;Jugador 346;;;;;100;346
;;Jugador 347;;;;;100;347
;;Jugador 348;;;;;100;348
;;Jugador 349;;;;;100;349
;;Jugador 350;;;;;100;350
;;Jugador 351;;;;;100;351
;;Jugador 352;;;;;100;352
;;Jugador 353;;;;;100;353
;;Jugador 354;;;;;100;354
;;Jugador 355;;;;;100;355
;;Jugador 356;;;;;100;356
;;Jugador 357;;;;;100;357
;;Jugador 358;;;;;100;358
;;Jugador 359;;;;;100;359
;;Jugador 360;;;;;100;360
;;Jugador 361;;;;;100;361
;;Jugador 362;;;;;100;362
;;Jugador 363;;;;;100;363
;;Jugador 364;;;;;100;364
;;Jugador 365;;;;;100;365
;;Jugador 366;;;;;100;366
;;Jugador 367;;;;;100;367
;;Jugador 368;;;;;100;368
;;Jugador 369;;;;;100;369
;;Jugador 370;;;;;100;370
;;Jugador 371;;;;;100;371
;;Jugador 372;;;;;100;372
;;Jugador 373;;;;;100;373
;;Jugador 374;;;;;100;374
;;Jugador 375;;;;;100;375
;;Jugador 376;;;;;100;376
;;Jugador 377;;;;;100;377
;;Jugador 378;;;;;100;378
;;Jugador 379;;;;;100;379
;;Jugador 380;;;;;100;380
;;Jugador 381;;;;;100;381
;;Jugador 382;;;;;100;382
;;Jugador 383;;;;;100;383
;;Jugador 384;;;;;100;384
;;Jugador 385;;;;;100;385
;;Jugador 386;;;;;100;386
;;Jugador 387;;;;;100;387
;;Jugador 388;;;;;100;388
;;Jugador 389;;;;;100;389
;;Jugador 390;;;;;100;390
;;Jugador 391;;;;;100;391
;;Jugador 392;;;;;100;392
;;Jugador 393;;;;;100;393
;;Jugador 394;;;;;100;394
;;Jugador 395;;;;;100;395
;;Jugador 396;;;;;100;396
;;Jugador 397;;;;;100;397
;;Jugador 398;;;;;100;398
;;Jugador 399;;;;;100;399
;;Jugador 400;;;;;100;400
;;Jugador 401;;;;;100;401
;;Jugador 402;;;;;100;402
;;Jugador 403;;;;;100;403
;;Jugador 404;;;;;100;404
;;Jugador 405;;;;;100;405
;;Jugador 406;;;;;100;406
;;Jugador 407;;;;;100;407
;;Jugador 408;;;;;100;408
;;Jugador 409;;;;;100;409
;;Jugador 410;;;;;100;410
;;Jugador 411;;;;;100;411
;;Jugador 412;;;;;100;412
;;Jugador 413;;;;;100;413
;;Jugador 414;;;;;100;414
;;Jugador 415;;;;;100;415
;;Jugador 416;;;;;100;416
;;Jugador 417;;;;;100;417
;;Jugador 418;;;;;100;418
;;Jugador 419;;;;;100;419
;;Jugador 420;;;;;100;420
;;Jugador 421;;;;;100;421
;;Jugador 422;;;;;100;422
;;Jugador 423;;;;;100;423
;;Jugador 424;;;;;100;424
;;Jugador 425;;;;;100;425
;;Jugador 426;;;;;100;426
;;Jugador 427;;;;;100;427
;;Jugador 428;;;;;100;428
;;Jugador 429;;;;;100;429
;;Jugador 430;;;;;100;430
;;Jugador 431;;;;;100;431
;;Jugador 432;;;;;100;432
;;Jugador 433;;;;;100;433
;;Jugador 434;;;;;100;434
;;Jugador 435;;;;;100;435
;;Jugador 436;;;;;100;436
;;Jugador 437;;;;;100;437
;;Jugador 438;;;;;100;438
;;Jugador 439;;;;;100;439
;;Jugador 440;;;;;100;440
;;Jugador 441;;;;;100;441
;;Jugador 442;;;;;100;442
;;Jugador 443;;;;;100;443
;;Jugador 444;;;;;100;444
;;Jugador 445;;;;;100;445
;;Jugador 446;;;;;100;446
;;Jugador 447;;;;;100;447
;;Jugador 448;;;;;100;448
;;Jugador 449;;;;;100;449
;;Jugador 450;;;;;100;450
;;Jugador 451;;;;;100;451
;;Jugador 452;;;;;100;452
;;Jugador 453;;;;;100;453
;;Jugador 454;;;;;100;454
;;Jugador 455;;;;;100;455
;;Jugador 456;;;;;100;456
;;Jugador 457;;;;;100;457
;;Jugador 458;;;;;100;458
;;Jugador 459;;;;;100;459
;;Jugador 460;;;;;100;460
;;Jugador 461;;;;;100;461
;;Jugador 462;;;;;100;462
;;Jugador 463;;;;;100;463
;;Jugador 464;;;;;100;464
;;Jugador 465;;;;;100;465
;;Jugador 466;;;;;100;466
;;Jugador 467;;;;;100;467
;;Jugador 468;;;;;100;468
;;Jugador 469;;;;;100;469
;;Jugador 470;;;;;100;470
;;Jugador 471;;;;;100;471
;;Jugador 472;;;;;100;472
;;Jugador 473;;;;;100;473
;;Jugador 474;;;;;100;474
;;Jugador 475;;;;;100;475
;;Jugador 476;;;;;100;476
;;Jugador 477;;;;;100;477
;;Jugador 478;;;;;100;478
;;Jugador 479;;;;;100;479
;;Jugador 480;;;;;100;480
;;Jugador 481;;;;;100;481
;;Jugador 482;;;;;100;482
;;Jugador 483;;;;;100;483
;;Jugador 484;;;;;100;484
;;Jugador 485;;;;;100;485
;;Jugador 486;;;;;100;486
;;Jugador 487;;;;;100;487
;;Jugador 488;;;;;100;488
;;Jugador 489;;;;;100;489
;;Jugador 490;;;;;100;490
;;Jugador 491;;;;;100;491
;;Jugador 492;;;;;100;492
;;Jugador 493;;;;;100;493
;;Jugador 494;;;;;100;494
;;Jugador 495;;;;;100;495
;;Jugador 496;;;;;100;496
;;Jugador 497;;;;;100;497
;;Jugador 498;;;;;100;498
;;Jugador 499;;;;;100;499
;;Jugador 500;;;;;100;500
;;Jugador 501;;;;;100;501
;;Jugador 502;;;;;100;502
;;Jugador 503;;;;;100;503
;;Jugador 504;;;;;100;504
;;Jugador 505;;;;;100;505
;;Jugador 506;;;;;100;506
;;Jugador 507;;;;;100;507
;;Jugador 508;;;;;100;508
;;Jugador 509;;;;;100;509
;;Jugador 510;;;;;100;510
;;Jugador 511;;;;;100;511
;;Jugador 512;;;;;100;512
;;Jugador 513;;;;;100;513
;;Jugador 514;;;;;100;514
;;Jugador 515;;;;;100;515
;;Jugador 516;;;;;100;516
;;Jugador 517;;;;;100;517
;;Jugador 518;;;;;100;518
;;Jugador 519;;;;;100;519
;;Jugador 520;;;;;100;520
;;Jugador 521;;;;;100;521
;;Jugador 522;;;;;100;522
;;Jugador 523;;;;;100;523
;;Jugador 524;;;;;100;524
;;Jugador 525;;;;;100;525
;;Jugador 526;;;;;100;526
;;Jugador 527;;;;;100;527
;;Jugador 528;;;;;100;528
;;Jugador 529;;;;;100;529
;;Jugador 530;;;;;100;530
;;Jugador 531;;;;;100;531
;;Jugador 532;;;;;100;532
;;Jugador 533;;;;;100;533
;;Jugador 534;;;;;100;534
;;Jugador 535;;;;;100;535
;;Jugador 536;;;;;100;536
;;Jugador 537;;;;;100;537
;;Jugador 538;;;;;100;538
;;Jugador 539;;;;;100;539
;;Jugador 540;;;;;100;540
;;Jugador 541;;;;;100;541
;;Jugador 542;;;;;100;542
;;Jugador 543;;;;;100;543
;;Jugador 544;;;;;100;544
;;Jugador 545;;;;;100;545
;;Jugador 546;;;;;100;546
;;Jugador 547;;;;;100;547
;;Jugador 548;;;;;100;548
;;Jugador 549;;;;;100;549
;;Jugador 550;;;;;100;550
;;Jugador 551;;;;;100;551
;;Jugador 552;;;;;100;552
;;Jugador 553;;;;;100;553
;;Jugador 554;;;;;100;554
;;Jugador 555;;;;;100;555
;;Jugador 556;;;;;100;556
;;Jugador 557;;;;;100;557
;;Jugador 558;;;;;100;558
;;Jugador 559;;;;;100;559
;;Jugador 560;;;;;100;560
;;Jugador 561;;;;;100;561
;;Jugador 562;;;;;100;562
;;Jugador 563;;;;;100;563
;;Jugador 564;;;;;100;564
;;Jugador 565;;;;;100;565
;;Jugador 566;;;;;100;566
;;Jugador 567;;;;;100;567
;;Jugador 568;;;;;100;568
;;Jugador 569;;;;;100;569
;;Jugador 570;;;;;100;570
;;Jugador 571;;;;;100;571
;;Jugador 572;;;;;100;572
;;Jugador 573;;;;;100;573
;;Jugador 574;;;;;100;574
;;Jugador 575;;;;;100;575
;;Jugador 576;;;;;100;576
;;Jugador 577;;;;;100;577
;;Jugador 578;;;;;100;578
;;Jugador 579;;;;;100;579
;;Jugador 580;;;;;100;580
;;Jugador 581;;;;;100;581
;;Jugador 582;;;;;100;582
;;Jugador 583;;;;;100;583
;;Jugador 584;;;;;100;584
;;Jugador 585;;;;;100;585
;;Jugador 586;;;;;100;586
;;Jugador 587;;;;;100;587
;;Jugador 588;;;;;100;588
;;Jugador 589;;;;;100;589
;;Jugador 590;;;;;100;590
;;Jugador 591;;;;;100;591
;;Jugador 592;;;;;100;592
;;Jugador 593;;;;;100;593
;;Jugador 594;;;;;100;594
;;Jugador 595;;;;;100;595
;;Jugador 596;;;;;100;596
;;Jugador 597;;;;;100;597
;;Jugador 598;;;;;100;598
;;Jugador 599;;;;;100;599
;;Jugador 600;;;;;100;600
;;Jugador 601;;;;;100;601
;;Jugador 602;;;;;100;602
;;Jugador 603;;;;;100;603
;;Jugador 604;;;;;100;604
;;Jugador 605;;;;;100;605
;;Jugador 606;;;;;100;606
;;Jugador 607;;;;;100;607
;;Jugador 608;;;;;100;608
;;Jugador 609;;;;;100;609
;;Jugador 610;;;;;100;610
;;Jugador 611;;;;;100;611
;;Jugador 612;;;;;100;
